"","X","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"91",1,0.01,8,0,0.6,3,0.5,1700,0.405446309200929,0.48541809921427,0.249495115745051,0.0102048414852204,0.0170260089422542,0.00355837010938213
"92",4,0.01,8,0,0.6,3,0.75,1700,0.405140513115399,0.486183168641905,0.249144441946629,0.0102312316558371,0.0170794288426245,0.00359194635564804
"93",7,0.01,8,0,0.6,3,1,1700,0.405388736108774,0.485533393783181,0.24929590144291,0.0103075923534438,0.0173291097440503,0.00357902655951782
"94",10,0.01,8,0,0.8,3,0.5,1700,0.406086148361075,0.483843601975769,0.25009020763235,0.0101844881216286,0.0169715158776422,0.00356876983315556
"95",13,0.01,8,0,0.8,3,0.75,1700,0.405788306153587,0.484589226564103,0.249714549825272,0.010171457522395,0.0169611893812701,0.00354416852880505
"96",16,0.01,8,0,0.8,3,1,1700,0.405974277108481,0.484082546300189,0.24976019536919,0.0102961108108814,0.0173128062369529,0.00356232698695096
"97",2,0.01,8,0,0.6,3,0.5,1800,0.405627478407569,0.48498453756952,0.249656649835057,0.0101911253573048,0.0169836918991546,0.00355480978519124
"98",5,0.01,8,0,0.6,3,0.75,1800,0.405298024111599,0.485805311964184,0.249287505826113,0.0102185605432502,0.0170388409914716,0.00358870723768555
"99",8,0.01,8,0,0.6,3,1,1800,0.405515309393008,0.485225797657964,0.249417051308256,0.0102945912528927,0.0172842190550309,0.00357169947989627
"100",11,0.01,8,0,0.8,3,0.5,1800,0.406313612006287,0.483303804500638,0.250297887709236,0.0101690700497797,0.0169194822457456,0.00355633574038205
"101",14,0.01,8,0,0.8,3,0.75,1800,0.405996616191073,0.484092060275465,0.24989956679201,0.0101529266578854,0.0169043823831767,0.00353744928504082
"102",17,0.01,8,0,0.8,3,1,1800,0.406122469564909,0.483726866486979,0.249896067900767,0.0102819163074033,0.0172663409778797,0.00355755253231808
